ID,lb,mean,ub
1,6,12,18
6,6,12,18
11,0.5,6,12
15,0.5,6,12
16,0.5,6,12
20,0.5,6,12
21,0.5,6,12
22,0.5,6,12
25,0.5,6,12
26,0.5,6,12
27,0.5,6,12
28,0.5,6,12
29,0.5,6,12
30,0.5,6,12
31,0.5,6,12
32,0.5,6,12
33,0.5,6,12
34,0.5,6,12
35,0.5,6,12
39,0.5,6,12
41,6,12,18
46,0.1,0.5,1
47,0.1,0.5,1
48,0.1,0.5,1
51,0.25,1,2
53,0.25,1,2
55,0.25,1,2
57,0.25,1,2
59,0.1,0.5,1
61,0.25,1,2
63,0.25,1,2
64,0.25,1,2
65,0.25,1,2
66,0.25,1,2
67,0.25,1,2
68,0.5,6,12
69,0.25,1,2
