ID,lb,mean,ub
1,60,90,120
6,60,90,120
11,60,90,120
15,60,90,120
16,60,90,120
20,60,90,120
21,60,90,120
22,60,90,120
25,60,90,120
26,60,90,120
27,60,90,120
28,60,90,120
29,60,90,120
30,60,90,120
31,60,90,120
32,60,90,120
33,60,90,120
34,60,90,120
35,60,90,120
39,60,90,120
41,99999999,999999999,9999999999
46,1,2,3
47,1,2,3
48,1,2,3
51,15,30,45
53,15,30,45
55,15,30,45
57,15,30,45
59,1,2,3
61,15,30,45
63,15,30,45
64,15,30,45
65,15,30,45
66,15,30,45
67,15,30,45
68,60,90,120
69,15,30,45
