Region,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,70,71,72,73,74,75,76,78,79,80,98,81,82,83,86,99,87,88,97,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,70,71,72,73,74,75,76,78,79,80,98,81,82,83,86,99,87,88,97,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,70,71,72,73,74,75,76,78,79,80,98,81,82,83,86,99,87,88,97
1,1,74898,4,218403,42,312,132,9,9,1,0.5,0.5,0,0,0,0,0,0,1,0,17359,1634,0,0,0,133,0,0,5,5,4536,4536,4536,4536,313.5,313.5,0,0,331719,929,58641,0,2756.5,2756.5,38806,103889,435608,217314.77,0,0,106822,438541,0,0,0,69149,0,1731,0,15221,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,360,103,0,0,0,11,0,0,0.5,0.5,352.75,352.75,352.75,352.75,11,11,0,0,18871,82,3900,0,50,50,143,4225,23096,0,0,0,4225,23096,0,0,0,4225,0,918,0,3768,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,210,23,0,0,0,2,0,0,0,0,116.25,116.25,116.25,116.25,20,20,0,0,5441,21,926,0,112.5,112.5,73,1245,6686,0,0,0,1245,6686,0,0,0,1245,0
1,2,39,198,4,0,2540,1107,332,332,11997,14708.5,14708.5,8,7.33,7.33,7.33,5,5,23,0,49,14166,8657.67,8657.67,8657.67,0,0,0,0,0,1.5,1.5,1.5,1.5,44.5,44.5,0,25,86363,-110,-134,0,-33.5,-33.5,612,301,86664,695,0,0,996,87359,-52467.23,0,0,-65392,0,0,0,0,0,4,1,145,145,8,13.5,13.5,0,0,0,0,0,0,0,0,0,17,21.65,21.65,21.65,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,412,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,6,0.5,0.5,16,42.5,42.5,0,0,0,0,0,0,0,0,0,19,63.28,63.28,63.28,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,1,1,318,0,0,0,1,318,0,0,0,1,0
1,3,48258,0,55066,31,416,270,0,0,24,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,119,0,0,15,15,13593.75,13593.75,13593.75,13593.75,181.5,181.5,0,101,159133,7248,262043,3752,0,0,2966,276009,435142,253842.07,0,0,279652,438785,0,0,0,198615,0,3178,0,7941,19,66,42,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,25,0,0,3.5,3.5,2370.5,2370.5,2370.5,2370.5,31,31,0,7,20836,1407,48109,685,0,0,370,50571,71407,0,0,0,50571,71407,0,0,0,50571,0,926,0,3661,9,6,89,0,0,1,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,7,0,0,0,0,793,793,793,793,19,19,0,9,8056,540,13521,293,0,0,132,14486,22542,0,0,0,14486,22542,0,0,0,14486,0
1,4,1589,112,384,5699,379,68,33,33,108,52,52,129,102.57,102.57,102.57,573,573,523,71,379,1448,57.27,57.27,57.27,2836,459,16,347,347,1404.25,1404.25,1404.25,1404.25,637.5,637.5,162,233,23977,861,37371,0,812,812,-1751,38105,62082,1890,0,0,39995,63972,-15409.21,0,0,-17404,0,44,2,29,48,16,3,1,1,8,5,5,5,3.33,3.33,3.33,33,33,1,2,25,79,2.99,2.99,2.99,235,43,1,23.5,23.5,83.5,83.5,83.5,83.5,38,38,3,9,1107,64,2681,0,51.5,51.5,0,2848,3955,0,0,0,2848,3955,0,0,0,2848,0,10,0,6,38,2,3,0.5,0.5,3,0.5,0.5,2,1.33,1.33,1.33,14,14,0,1,10,11,0.33,0.33,0.33,34,8,0,2.5,2.5,16.25,16.25,16.25,16.25,7.5,7.5,0,1,249,11,422,0,31.5,31.5,0,496,745,0,0,0,496,745,0,0,0,496,0
1,5,4690,0,4124,173,34235,484,0.5,0.5,578,20.5,20.5,148,38.96,38.96,38.96,500,500,29,170,3498,1648,15.99,15.99,15.99,4379,522,74,380,380,1982.75,1982.75,1982.75,1982.75,459,459,5332,419,71319,575,2049,0,0,0,-991,1633,72952,67278.44,0,0,9564,80883,0,0,0,-20,0,255,0,370,30,2193,60,0,0,89,3,3,10,4.33,4.33,4.33,208,208,4,33,594,197,1,1,1,570,64,10,73,73,185,185,185,185,59.5,59.5,663,37,6622,96,340,0,0,0,30,466,7088,0,0,0,466,7088,0,0,0,466,0,277,0,506,33,1344,314,0,0,271,4,4,16,6,6,6,185,185,8,27,545,135,0.99,0.99,0.99,298,49,9,29,29,98.25,98.25,98.25,98.25,52.5,52.5,515,45,5347,53,195,0,0,0,29,277,5624,0,0,0,277,5624,0,0,0,277,0
1,6,6030,87,1291,527,1521,2894,51,51,225,242.5,242.5,330,150.86,150.86,150.86,820,820,691,95,3827,993,166.5,166.5,166.5,11,10,11,41.5,41.5,7281.5,7281.5,7281.5,7281.5,317,317,112,227,51905,606,8951,0,0,0,-2381,7176,59081,4957,0,0,12133,64038,-13374.04,0,0,-31341,0,302,4,69,51,110,389,5,5,45,23.5,23.5,20,10.99,10.99,10.99,116,116,22,4,612,78,13.32,13.32,13.32,0,0,0,1,1,488.25,488.25,488.25,488.25,27.5,27.5,8,11,4097,50,759,0,0,0,5,814,4911,0,0,0,814,4911,0,0,0,814,0,152,0,38,69,27,543,1,1,68,5.5,5.5,11,4.67,4.67,4.67,77,77,16,7,434,23,5.34,5.34,5.34,0,0,0,0,0,173,173,173,173,20,20,4,9,2330,20,237,0,0,0,4,261,2591,0,0,0,261,2591,0,0,0,261,0
1,7,919.5,217.5,285.5,15.5,96.5,67.5,77.75,77.75,138,131,131,59.5,14.15,14.15,14.15,46.5,46.5,49,13.5,98.5,1583.5,241.92,241.92,241.92,940,70,49,1075,1075,286.74,286.74,286.74,286.74,428.5,428.5,0,95.5,10132,28.5,6906,0,0,0,-634.5,6300,16432,0,0,0,6300,16432,-12515.78,0,0,-4764,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.17,0.5,0,0,0.25,0.25,0,0,0,0,0,0,0,0,2,0,3.5,0,0,0,0,3.5,5.5,0,0,0,3.5,5.5,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,919.5,217.5,285.5,15.5,96.5,67.5,77.75,77.75,138,131,131,59.5,14.15,14.15,14.15,46.5,46.5,49,13.5,98.5,1583.5,241.92,241.92,241.92,940,70,49,1075,1075,286.74,286.74,286.74,286.74,428.5,428.5,0,95.5,10132,28.5,6906,0,0,0,-634.5,6300,16432,0,0,0,6300,16432,-12515.78,0,0,-4764,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0.17,0.5,0,0,0.25,0.25,0,0,0,0,0,0,0,0,2,0,3.5,0,0,0,0,3.5,5.5,0,0,0,3.5,5.5,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
