ID,lb,mean,ub
1,15,30,45
6,15,30,45
11,15,30,45
15,15,30,45
16,15,30,45
20,15,30,45
21,15,30,45
22,15,30,45
25,15,30,45
26,15,30,45
27,15,30,45
28,15,30,45
29,15,30,45
30,15,30,45
31,15,30,45
32,15,30,45
33,15,30,45
34,15,30,45
35,15,30,45
39,15,30,45
41,99999999,999999999,9999999999
46,1,2,3
47,1,2,3
48,1,2,3
51,7,14,30
53,7,14,30
55,7,14,30
57,7,14,30
59,1,2,3
61,7,14,30
63,7,14,30
64,7,14,30
65,7,14,30
66,7,14,30
67,7,14,30
68,15,30,45
69,7,14,30
